2017rank,City,State,2017estimate,2010Census,Change,2016_land_area,2016_Population_Density,CityURL,CityInfo
28,Las Vegas,Nevada,644644,583756,+10.43%,134.4sqmi 348.1km2,"4,709/sqmi 1,818/km2",https://en.wikipedia.org/wiki/Las_Vegas,"Las Vegas (, Spanish for ""The Meadows""; Spanish: [laz ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County."
29,Louisville,Kentucky,620118,597337,+3.81%,263.5sqmi 682.5km2,"2,339/sqmi 903/km2","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Louisville ( (listen) LOO-ə-vəl,  (listen) LOO-ee-vil,  (listen) LUUV-əl) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States."
30,Baltimore,Maryland,602495,620961,-2.97%,80.9sqmi 209.5km2,"7,598/sqmi 2,934/km2",https://en.wikipedia.org/wiki/Baltimore,Baltimore () is the largest city in the state of Maryland within the United States.
31,Milwaukee,Wisconsin,592025,594833,-0.47%,96.2sqmi 249.2km2,"6,186/sqmi 2,388/km2",https://en.wikipedia.org/wiki/Milwaukee,"Milwaukee (, locally ) is the largest city in the state of Wisconsin and the fifth-largest city in the Midwestern United States."
32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2sqmi 487.4km2,"2,972/sqmi 1,147/km2","https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico","Albuquerque ( (listen) AL-bə-kur-kee; Navajo: Beeʼeldííl Dahsinil [pèːʔèltíːl tɑ̀xsɪ̀nɪ̀l]; Eastern Keres: Arawageeki; Jemez: Vakêêke; Zuni: Alo:ke:k'ya; Jicarilla Apache: Gołgéeki'yé), also known locally as Duke City and abbreviated as ABQ, is the most populous city in the U.S. state of New Mexico and the 32nd-most populous city in the United States, with a census-estimated population of 558,545 in 2017."
33,Tucson,Arizona,545975,520116,+4.97%,230.8sqmi 597.8km2,"2,299/sqmi 888/km2","https://en.wikipedia.org/wiki/Tucson,_Arizona","Tucson () is a city and the county seat of Pima County, Arizona, United States, and home to the University of Arizona."
34,Fresno,California,530093,494665,+7.16%,114.4sqmi 296.3km2,"4,563/sqmi 1,762/km2","https://en.wikipedia.org/wiki/Fresno,_California","Fresno ( FREZ-noh; Spanish for ""ash tree"") is a city in California, United States, and the county seat of Fresno County."
35,Mesa,Arizona,508958,439041,+15.92%,137.9sqmi 357.2km2,"3,514/sqmi 1,357/km2",https://en.wikipedia.org/wiki/Mesa,"Mesa (Spanish, Portuguese and  Sardinian for table) is the American English term for tableland, an elevated area of land with a flat top and sides that are usually steep cliffs."
36,Sacramento,California,508529,466488,+9.01%,97.9sqmi 253.6km2,"5,059/sqmi 1,953/km2","https://en.wikipedia.org/wiki/Sacramento,_California",Sacramento ( SAK-rə-MEN-toh; Spanish: [sakɾaˈmento]) is the capital city of the U.S. state of California and the seat of Sacramento County.
37,Atlanta,Georgia,498044,420003,+18.58%,133.5sqmi 345.8km2,"3,539/sqmi 1,366/km2",https://en.wikipedia.org/wiki/Atlanta,Atlanta () is the capital and most populous city in the U.S. state of Georgia.
